repo_name,pr_number,group,task_type,repo_language,merge_quarter,changed_kloc,log1p_changed_kloc,stars,log1p_stars,design_name,propensity_ai,exact_stratum,common_support,overlap_weight,support_exclusion_reason
liam-hq/liam,2436,ai,feat,TypeScript,2025-Q3,0.003,0.002995508979798479,4194.0,8.341648618901306,unweighted_full_sample,,feat|TypeScript,True,1.0,
liam-hq/liam,1855,ai,feat,TypeScript,2025-Q2,0.12,0.11332868530700317,4194.0,8.341648618901306,unweighted_full_sample,,feat|TypeScript,True,1.0,
thirdweb-dev/js,7156,ai,refactor,TypeScript,2025-Q2,0.112,0.10616019582839063,538.0,6.289715570908998,unweighted_full_sample,,refactor|TypeScript,True,1.0,
KittyCAD/modeling-app,7034,ai,fix,TypeScript,2025-Q2,0.004,0.003992021269537453,913.0,6.81783057145415,unweighted_full_sample,,fix|TypeScript,True,1.0,
celestiaorg/celestia-core,1954,ai,feat,Go,2025-Q2,0.034,0.03343477608623739,531.0,6.2766434893416445,unweighted_full_sample,,feat|Go,True,1.0,
ryokun6/ryos,19,ai,fix,TypeScript,2025-Q2,0.099,0.09440067542148431,558.0,6.326149473155099,unweighted_full_sample,,fix|TypeScript,True,1.0,
novuhq/novu,8469,ai,feat,TypeScript,2025-Q2,1.954,1.083160184109188,37349.0,10.528088190560963,unweighted_full_sample,,feat|TypeScript,True,1.0,
AgentOps-AI/agentops,1156,ai,feat,Python,2025-Q3,1.086,0.7352483565785808,4722.0,8.460199469896118,unweighted_full_sample,,feat|Python,True,1.0,
analogdotnow/Analog,117,ai,fix,TypeScript,2025-Q2,0.014,0.013902905168991422,1079.0,6.984716320118265,unweighted_full_sample,,fix|TypeScript,True,1.0,
jina-ai/node-DeepResearch,37,ai,feat,TypeScript,2025-Q1,0.013,0.012916225266546328,4693.0,8.454040376410969,unweighted_full_sample,,feat|TypeScript,True,1.0,
novuhq/novu,8428,ai,fix,TypeScript,2025-Q2,0.004,0.003992021269537453,37349.0,10.528088190560963,unweighted_full_sample,,fix|TypeScript,True,1.0,
liam-hq/liam,1963,ai,refactor,TypeScript,2025-Q2,0.049,0.04783732941416013,4194.0,8.341648618901306,unweighted_full_sample,,refactor|TypeScript,True,1.0,
prebid/Prebid.js,13610,ai,refactor,JavaScript,2025-Q3,0.112,0.10616019582839063,1467.0,7.291656209174461,unweighted_full_sample,,refactor|JavaScript,True,1.0,
shivammathur/setup-php,973,ai,feat,TypeScript,2025-Q3,0.017,0.0168571170664229,3076.0,8.031710375322042,unweighted_full_sample,,feat|TypeScript,True,1.0,
onlook-dev/onlook,1410,ai,feat,TypeScript,2025-Q1,0.008,0.007968169649176874,21192.0,9.961426217456575,unweighted_full_sample,,feat|TypeScript,True,1.0,
